"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","testHelloEndpoint()","","Sat Nov 08 16:36:57 UTC 2025","skipped","Sat Nov 08 16:36:57 UTC 2025","","uk.co.surf.ExampleResourceTest","uk.co.surf.ExampleResourceTest","testHelloEndpoint"
"","111","testStaticDataQuery(String, String, String, Map) Business Types","","Sat Nov 08 16:36:56 UTC 2025","passed","Sat Nov 08 16:36:56 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","72","testStaticDataQuery(String, String, String, Map) Payment Methods","","Sat Nov 08 16:36:57 UTC 2025","passed","Sat Nov 08 16:36:57 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","170","testStaticDataQuery(String, String, String, Map) Business Sub Types","","Sat Nov 08 16:36:56 UTC 2025","passed","Sat Nov 08 16:36:56 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","183","ListCustomers","","Sat Nov 08 16:36:55 UTC 2025","passed","Sat Nov 08 16:36:55 UTC 2025","","Customer Resource","uk.co.surf.resource.graph.CustomerResourceTest","testListCustomers"
"","451","Create Business","","Sat Nov 08 16:36:51 UTC 2025","passed","Sat Nov 08 16:36:51 UTC 2025","","Business Repository","uk.co.surf.repository.BusinessRepositoryTest","createBusiness"
"","62","testStaticDataQuery(String, String, String, Map) Org Types","","Sat Nov 08 16:36:56 UTC 2025","passed","Sat Nov 08 16:36:56 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","83","testStaticDataQuery(String, String, String, Map) Transaction Types","","Sat Nov 08 16:36:57 UTC 2025","passed","Sat Nov 08 16:36:57 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","0","test()","","Sat Nov 08 16:36:57 UTC 2025","skipped","Sat Nov 08 16:36:57 UTC 2025","","uk.co.surf.ExampleResourceTest","uk.co.surf.ExampleResourceTest","test"
"","221","testStaticDataQuery(String, String, String, Map) Currencies","","Sat Nov 08 16:36:56 UTC 2025","passed","Sat Nov 08 16:36:57 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","99","GetCustomer","","Sat Nov 08 16:36:55 UTC 2025","passed","Sat Nov 08 16:36:55 UTC 2025","","Customer Resource","uk.co.surf.resource.graph.CustomerResourceTest","testGetCustomer"
"","2691","EditBusiness","","Sat Nov 08 16:36:52 UTC 2025","passed","Sat Nov 08 16:36:54 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testEditBusiness"
"","0","Search business","","Sat Nov 08 16:36:57 UTC 2025","skipped","Sat Nov 08 16:36:57 UTC 2025","","Business Service","uk.co.surf.service.BusinessServiceTest","testSearchBusinessLogic"
"","157","GetProduct","","Sat Nov 08 16:36:55 UTC 2025","passed","Sat Nov 08 16:36:55 UTC 2025","","Product Resource","uk.co.surf.resource.graph.ProductResourceTest","testGetProduct"
"","0","test2()","","Sat Nov 08 16:36:57 UTC 2025","skipped","Sat Nov 08 16:36:57 UTC 2025","","uk.co.surf.ExampleResourceTest","uk.co.surf.ExampleResourceTest","test2"
"","77","GetUser","","Sat Nov 08 16:36:57 UTC 2025","passed","Sat Nov 08 16:36:57 UTC 2025","","User Resource","uk.co.surf.resource.graph.UserResourceTest","testGetUserQuery"
"","239","testStaticDataQuery(String, String, String, Map) Countries","","Sat Nov 08 16:36:56 UTC 2025","passed","Sat Nov 08 16:36:56 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","0","UpdateCustomer","","Sat Nov 08 16:36:55 UTC 2025","skipped","Sat Nov 08 16:36:55 UTC 2025","","Customer Resource","uk.co.surf.resource.graph.CustomerResourceTest","testUpdateCustomer"
"","131","GetBusiness","","Sat Nov 08 16:36:55 UTC 2025","passed","Sat Nov 08 16:36:55 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testGetBusiness"
"","106","ListProducts","","Sat Nov 08 16:36:56 UTC 2025","passed","Sat Nov 08 16:36:56 UTC 2025","","Product Resource","uk.co.surf.resource.graph.ProductResourceTest","testListProducts"
"","278","ListBusinesses","","Sat Nov 08 16:36:54 UTC 2025","passed","Sat Nov 08 16:36:55 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testGetBusinessQuery"
"","82","testStaticDataQuery(String, String, String, Map) Transaction Categories","","Sat Nov 08 16:36:57 UTC 2025","passed","Sat Nov 08 16:36:57 UTC 2025","","Static Data Resource","uk.co.surf.resource.graph.StaticDataResourceTest","testStaticDataQuery"
"","115","EditProduct","","Sat Nov 08 16:36:55 UTC 2025","passed","Sat Nov 08 16:36:56 UTC 2025","","Product Resource","uk.co.surf.resource.graph.ProductResourceTest","testEditProduct"
"","0","UpdateBusiness","","Sat Nov 08 16:36:55 UTC 2025","skipped","Sat Nov 08 16:36:55 UTC 2025","","Business Resource","uk.co.surf.resource.graph.BusinessResourceTest","testUpdateBusiness"
